Freedom of Information Disclosure Log - August 2011,,
Ref,Received,Summary
147900,01/08/2011,ICT FOI request re internal phone exchange
147954,02/08/2011,FOI request regarding RV of schools
147960,02/08/2011,Request for all RV's between 500.00 and 12k plus any claiming SBRR and other reliefs
147969,02/08/2011,info on staff receiving a LGPS over £50k
147977,02/08/2011,ICT request re use of ICT in HR and shared service questions (survey from student).
147976,02/08/2011,info on Ethelred Estate
147978,02/08/2011,Info on Noise Complaints re Circle Bar at 348 Clapham Rd
147999,02/08/2011,Location by Longtitude and Lattitude of all Dog Poo bins in the borough
148008,02/08/2011,Total No. of QSW supplied through Recruitment Agencies + an Organogram of SS dept
148013,02/08/2011,Copies of TMO&Articles regulating kerbside parking Exton St w/ Waterloo Rd
148015,02/08/2011,Stats & Details of Staff Grievances over last 5 years
148022,03/08/2011,Info on Council Run-Sports Pitches that have closed in last 10 years
148023,03/08/2011,Stats on Inappropriate Images found on Council Computers in last 5 years etc
148024,03/08/2011,Spend and staff time given to Trade Unions
148027,03/08/2011,Spend on taxis etc by cllrs and all staff in last financial year
148029,03/08/2011,Local housing Allowance Claims and Stats on Temp Accom etc
148032,03/08/2011,Projected Social Care Expenditure and Income
148036,03/08/2011,West Norwood Library and Crematorium
148038,03/08/2011,Info on Blue Badge Scheme/Freedom Pass/London Taxi Card
148056,03/08/2011,What practical support is available to older people undergoing cancer treatment
148057,03/08/2011,Spend on temp gypsy / traveller settlements
148059,03/08/2011,Procedures following fatal RTA's
148061,03/08/2011,CCTV Parking Enforcement
148062,03/08/2011,Contact Details of Head of IT/Procurement/Bus Change & Strategy & Communication Manager
148064,03/08/2011,Sick days per employee in last 5 years etc
148067,03/08/2011,Any complaints re Ritzy Restaurant
148074,03/08/2011,No. of Staff employed  earning less than £8.30 ph
148076,03/08/2011,Insurance info relating to subsidence
148090,04/08/2011,Info on Data Breaches/Lost USB's/ Laptops etc
148098,04/08/2011,Information Governance roles and salaries
148106,04/08/2011,web links from our website on specific community & development strategies
148108,04/08/2011,Waste Disposal - land fill data
148111,04/08/2011,Education Supply Staff 2010/11
148113,04/08/2011,Info on contracts we have with G4S Plc
148127,04/08/2011,Spend on Advertising Job Vacancies from 2008 to 2011
148129,04/08/2011,No. of Union Officials and spend per annum on them from 2008 to 2011
148132,04/08/2011,Spend on Council Magazine and Comms budget
148136,04/08/2011,Spend on community safety direct to the police and funding of PCSO's
148138,04/08/2011,Union Tenancy of Council Buildings
148140,04/08/2011,Estimated revenue from introducing Parking Charges on Sundays
148144,04/08/2011,Pension Payments to former & current  employees
148146,04/08/2011,No. of staff recipients of Private Health Ins & what is the annual cost
148147,04/08/2011,Allowance to staff to assist with their childrens private school fees
148150,04/08/2011,Cost of car and/or car allowances to staff
148152,04/08/2011,Amount paid in Redundancy payments to former e/ees from 2008 to 2011
