Freedom of Information Disclosure Log - December 2011,,
Ref,Received,Summary
152873,01/12/2011,"Please email us the contract details of Parking/Traffic Enforcement, Back office processing/call centre's, CCTV monitoring and Passenger/patient transport services"
152876,01/12/2011,Info on Empty Res Properties
152880,01/12/2011,How many PCNs for 12s offences have been sent out with this inadequate description for Clayton St
152885,01/12/2011,looking into families or individuals who seek to avoid paying care fees by deliberately depriving themselves or elderly relatives in need of care of their assets
152890,01/12/2011,The title and author of the adult non-fiction /Children's non-fiction/Adult Fiction/ Children Fiction - book which has been borrowed the most
152970,02/12/2011,How is the estimate of £2.5m per year for 4 years calculated
152971,02/12/2011,Any Reports/inspections on Montague House Private Children's Home Brockenhurst Road  Ramsgate Kent between January 1975 and December 1977
152972,02/12/2011,List of unoccupied private sector homes owned by individuals.  List of unoccupied private sector homes owned by non individuals
152975,05/12/2011,How many staff were paid via the PAYE system last month?
152978,05/12/2011,"Could you please forward me, all of Lambeth Councils Traffic Management Orders (TMO's) and their schedules, that underpin the Taxi ranks in your borough."
152980,05/12/2011,How much money has the council invested in General Dynamics Corp through pension contributions since 2006?
152982,05/12/2011,Spend on Private Detectives
152984,05/12/2011,A breakdown of how much the council has spent on private detectives to recover money owed to them since 2006 and what those debts were for?
152986,05/12/2011,"For adult social care services provided currently (Dec 2011), what is the WEEKLY CONTRIBUTION AMOUNT that is charged from a client who: is aged 60+"
152989,05/12/2011,the current highest weekly and or monthly level of housing currently benefit being paid to a claimant living within the council’s geographical area? length claiming? total claimed by this person
152991,05/12/2011,"Do Council staff declare membership of any religious organisations, such as Opus Dei or the Orange Order, under 'secret or select societies' on your Declaration of Interest."
153007,05/12/2011,Information relating to any road works or street works carried out on the road or pavement in front of 372 Wandsworth Road in the last 2 years. between 01/01/2010 and 02/12/2011
153030,05/12/2011,Spend on Private Investigators in 2010 and 2011? what was the nature of the information intended to be collected? what action was taken as a result of the info collected?
153036,05/12/2011,"London Fire Brigade Incident report on gas explosion at 10 Odette House, Hamilton Road,West Norwood SE27 9RY 0n 14th June 2011"
153042,05/12/2011,"Please can you tell me which members of the Lambeth Council cabinet were working from Lambeth Town Hall, or any other council owned building on Wednesday 30th November, 2011"
153045,05/12/2011,Addresses and rateable values of Commercial properties of 10kplus
153048,05/12/2011,"Lambeth Housing Strategy for low income individuals,familyand RTB"
153049,05/12/2011,please provide me with the organisational charts of your Senior Management Team in Adults and Children Directorate.
153053,06/12/2011,How many leaseholders were charged for the following jobs (individually) and what was the Council's contribution to these costs.  
153064,06/12/2011,Copies of correspondence between Officers/Councillors/ Venn Street Records/TfL/the requester - regarding the proposed shared space agreement in Venn Street
153094,06/12/2011,RE: temp structure that was at 41-43 Herne Place - I request all emails/visits/notes/photographs/comments/diagrams of this structure from 2004 of Building Control
153097,06/12/2011,I am looking to obtain two complete lists of all the privately owned and council / public body or company owned empty properties in Lambeth (minimum 6 months empty)
153100,06/12/2011,"Info on Myatts Field North TMO - copies of its articles of association, info on its legal status, who to take legal action against if there is a breach by the TMO, the rules governing the TMO"
