LSOA,ONS WARD CODE,COUNT OF ADDRESSES,WHERE FIGURE IS 10 IN COLUMN C
E01003141,00AYGQ,15,
E01003147,00AYGQ,28,
E01003146,00AYGQ,33,
E01003167,00AYGT,10,less than 10
E01003116,00AYGM,10,less than 10
E01003134,00AYGP,10,less than 10
E01003166,00AYGT,99,
E01003145,00AYGQ,45,
E01003115,00AYGM,36,
E01003144,00AYGQ,11,
E01003063,00AYGF,10,less than 10
E01003062,00AYGF,76,
E01003087,00AYGH,22,
E01003114,00AYGM,21,
E01003150,00AYGR,18,
E01003070,00AYGF,10,less than 10
E01003069,00AYGF,10,less than 10
E01003113,00AYGM,13,
E01003086,00AYGH,10,less than 10
E01003082,00AYGH,12,
E01003149,00AYGR,10,less than 10
E01003085,00AYGH,10,less than 10
E01003119,00AYGM,63,
E01003068,00AYGF,10,less than 10
E01003120,00AYGM,180,
E01003148,00AYGR,10,less than 10
E01003084,00AYGH,19,
E01003065,00AYGF,10,less than 10
E01003155,00AYGR,46,
E01003154,00AYGR,10,less than 10
E01003083,00AYGH,10,less than 10
E01003081,00AYGH,134,
E01003118,00AYGM,55,
E01003067,00AYGF,58,
E01003080,00AYGH,10,less than 10
E01003066,00AYGF,76,
E01003064,00AYGF,123,
E01003152,00AYGR,12,
E01003151,00AYGR,10,less than 10
E01003153,00AYGR,104,
E01003079,00AYGH,48,
E01003117,00AYGM,68,
E01003135,00AYGP,21,
E01003142,00AYGQ,10,less than 10
E01003140,00AYGQ,10,less than 10
E01003139,00AYGQ,23,
E01003143,00AYGQ,10,less than 10
E01003161,00AYGS,10,less than 10
E01003170,00AYGT,10,less than 10
E01003173,00AYGU,12,
E01003160,00AYGS,13,
E01003172,00AYGU,10,less than 10
E01003171,00AYGU,15,
E01003024,00AYGA,49,
E01003179,00AYGU,10,less than 10
E01003031,00AYGB,11,
E01003022,00AYGA,10,less than 10
E01003159,00AYGS,10,
E01003028,00AYGB,10,less than 10
E01003178,00AYGU,19,
E01003054,00AYGE,41,
E01003041,00AYGC,67,
E01003042,00AYGC,10,less than 10
E01003078,00AYGG,10,less than 10
E01003177,00AYGU,47,
E01003021,00AYGA,12,
E01003030,00AYGB,19,
E01003074,00AYGG,109,
E01003018,00AYGA,53,
E01003033,00AYGB,10,less than 10
E01003027,00AYGB,10,less than 10
E01003071,00AYGG,38,
E01003029,00AYGB,31,
E01003019,00AYGA,39,
E01003043,00AYGD,21,
E01003026,00AYGB,46,
E01003020,00AYGA,41,
E01003176,00AYGU,10,less than 10
E01003044,00AYGD,10,less than 10
E01003072,00AYGG,10,less than 10
E01003032,00AYGB,80,
E01003050,00AYGD,169,
E01003058,00AYGE,54,
E01003052,00AYGD,44,
E01003057,00AYGE,19,
E01003056,00AYGE,12,
E01003055,00AYGE,109,
E01003133,00AYGP,59,
E01003165,00AYGT,28,
E01003131,00AYGP,73,
E01003138,00AYGP,10,less than 10
E01003132,00AYGP,10,less than 10
E01003130,00AYGP,30,
E01003164,00AYGT,71,
E01003158,00AYGS,10,less than 10
E01003174,00AYGU,11,
E01003137,00AYGP,11,
E01003136,00AYGP,10,less than 10
E01003175,00AYGU,10,less than 10
E01003156,00AYGS,10,less than 10
E01003157,00AYGS,59,
E01003169,00AYGT,12,
E01003025,00AYGA,12,
E01003162,00AYGS,10,less than 10
E01003163,00AYGS,10,less than 10
E01003168,00AYGT,31,
E01003023,00AYGA,87,
E01003096,00AYGJ,67,
E01003094,00AYGJ,10,less than 10
E01003046,00AYGD,10,less than 10
E01003059,00AYGE,30,
E01003045,00AYGD,42,
E01003034,00AYGC,32,
E01003091,00AYGJ,32,
E01003093,00AYGJ,19,
E01003076,00AYGG,69,
E01003128,00AYGN,30,
E01003075,00AYGG,36,
E01003188,00AYGW,11,
E01003127,00AYGN,30,
E01003092,00AYGJ,39,
E01003109,00AYGL,223,
E01003108,00AYGL,23,
E01003111,00AYGL,10,less than 10
E01003112,00AYGL,72,
E01003110,00AYGL,69,
E01003015,00AYFZ,30,
E01003182,00AYGW,54,
E01003126,00AYGN,29,
E01003089,00AYGJ,98,
E01003124,00AYGN,10,less than 10
E01003187,00AYGW,11,
E01003186,00AYGW,76,
E01003185,00AYGW,10,less than 10
E01003123,00AYGN,29,
E01003184,00AYGW,10,less than 10
E01003121,00AYGN,10,less than 10
E01003180,00AYGW,10,less than 10
E01003125,00AYGN,10,less than 10
E01003181,00AYGW,20,
E01003129,00AYGN,35,
E01003122,00AYGN,33,
E01003097,00AYGK,23,
E01003183,00AYGW,145,
E01003098,00AYGK,13,
E01003104,00AYGK,24,
E01003100,00AYGK,74,
E01003099,00AYGK,72,
E01003102,00AYGK,171,
E01003103,00AYGK,219,
E01003101,00AYGK,61,
E01003107,00AYGL,89,
E01003105,00AYGL,28,
E01003106,00AYGL,18,
E01003040,00AYGC,10,less than 10
E01003039,00AYGC,153,
E01003088,00AYGJ,27,
E01003035,00AYGC,171,
E01003073,00AYGG,89,
E01003061,00AYGE,61
E01003047,00AYGD,406
E01003053,00AYGE,133
E01003051,00AYGD,199
E01003038,00AYGC,57
E01003036,00AYGC,16
E01003049,00AYGD,53
E01003048,00AYGD,55
E01003095,00AYGJ,11
E01003090,00AYGJ,102
E01003077,00AYGG,48
E01003060,00AYGE,41
E01003037,00AYGC,56
E01003014,00AYFZ,86
E01003013,00AYFZ,140
E01003017,00AYFZ,119
E01003012,00AYFZ,301
E01003016,00AYFZ,42
