OFFICE,ADDRESS,POSTCODE,EASTING,NORTHING
Lambeth Town Hall,Brixton Hill,SW2 1RW,530949,175214
International House,Canterburty Crescent,SW9 7QD,531178,175586
Olive Morris House,18 Brixton Hill,SW2 1RD,530840,174885
Hopton House,234A Streatham High Road,SW16 6EY,530064,171306
Hambrook House,Porden Road,SW2 5RW,530901,175060
Blue Star House,234-244 Stockwell Road,SW9 9SP,531024,175658
2-7 Town Hall Parade,Brixton Hill,SW2 1RJ,530916,175097
Ivor House,1 Acre Lane,SW2 5BF,530865,175183
Herne Hill Road,2 Herne Hill Road,SE24 0AY,531986,175783
Brixton Road,390-394 Brixton Road,SW9 7AW,531091,175740
Kennington Lane,188-198 Kennington Lane,SE11 5DL,531148,178188
Wanless Road,26 Wanless Road,SE24 0HW,532116,175725
Brixton Station Road,53 Brixton Station Road,SW9 8PQ,531276,175506
Phoenix House,10 Wandsworth Road,SW8 2LL,530235,177944
Gracefield Gardens Customer Centre,2-8 Gracefield Gardens,SW16 2ST,530234,172060
205 Stockwell Road,205 Stockwell Road,SW9 9SL,531025,175721
Clapham Park Road,35 Clapham Park Road,SW4 7EE,529615,175245
