Row Labels, Council tax or housing benefit claimants,Properties recorded as single person discount for council tax,Properties registered for council tax payments,Benefits claimants over 65,Properties paying business rates in 2011/12
E01003012,276,386,1001,40,401
E01003013,31,267,983,< 10,138
E01003014,178,269,704,14,103
E01003015,323,355,767,34,45
E01003016,104,167,604,< 10,41
E01003017,270,401,902,37,149
E01003018,210,279,969,14,29
E01003019,232,290,984,36,44
E01003020,217,280,759,19,46
E01003021,293,312,666,37,10
E01003022,185,256,723,16,< 10
E01003023,294,416,1098,35,69
E01003024,342,372,780,29,69
E01003025,322,331,854,25,< 10
E01003026,80,186,676,14,55
E01003027,24,93,528,< 10,< 10
E01003028,130,167,682,11,< 10
E01003029,200,339,864,15,28
E01003030,88,216,799,13,18
E01003031,236,283,728,24,37
E01003032,277,321,790,41,66
E01003033,93,180,627,11,< 10
E01003034,214,252,751,29,39
E01003035,158,257,783,14,174
E01003036,204,316,793,23,< 10
E01003037,320,283,626,51,51
E01003038,82,192,684,12,69
E01003039,97,278,966,< 10,167
E01003040,94,217,626,< 10,< 10
E01003041,254,304,688,25,69
E01003042,183,215,526,23,< 10
E01003043,211,249,697,25,< 10
E01003044,263,278,587,21,< 10
E01003045,379,342,708,46,34
E01003046,371,391,776,22,28
E01003047,328,340,781,30,331
E01003048,434,416,744,40,40
E01003049,360,303,659,36,39
E01003050,244,226,740,34,109
E01003051,291,283,678,14,159
E01003052,332,322,610,18,33
E01003053,140,203,715,17,24
E01003054,113,224,847,16,39
E01003055,298,362,802,38,107
E01003056,221,210,796,26,< 10
E01003057,329,351,764,37,19
E01003058,207,245,821,20,62
E01003059,289,286,687,45,32
E01003060,329,288,633,48,31
E01003061,214,188,522,17,83
E01003062,222,327,874,28,76
E01003063,315,351,695,23,< 10
E01003064,107,202,683,10,74
E01003065,377,390,722,36,< 10
E01003066,338,374,824,46,54
E01003067,185,232,654,22,50
E01003068,253,295,673,23,< 10
E01003069,210,184,532,15,< 10
E01003070,345,350,699,32,< 10
E01003071,198,334,969,15,16
E01003072,190,273,794,26,< 10
E01003073,269,306,724,25,81
E01003074,294,418,1114,22,74
E01003075,415,349,689,35,30
E01003076,302,274,962,16,55
E01003077,216,260,801,10,27
E01003078,91,187,653,11,< 10
E01003079,278,354,749,17,65
E01003080,201,249,702,12,< 10
E01003081,334,319,780,23,120
E01003082,317,343,679,37,26
E01003083,157,220,595,16,< 10
E01003084,149,231,658,< 10,33
E01003085,176,262,737,26,< 10
E01003086,300,302,657,21,11
E01003087,344,323,623,34,< 10
E01003088,265,281,738,31,15
E01003089,264,258,702,23,87
E01003090,237,331,1048,23,115
E01003091,261,254,678,28,30
E01003092,337,310,700,33,26
E01003093,564,460,956,46,22
E01003094,189,241,654,23,< 10
E01003095,140,205,720,13,< 10
E01003096,183,229,904,28,58
E01003097,322,327,736,55,19
E01003098,203,262,659,30,< 10
E01003099,194,265,658,15,62
E01003100,118,206,894,< 10,74
E01003101,244,301,733,23,58
E01003102,199,345,863,16,205
E01003103,463,789,1968,49,228
E01003104,183,287,798,22,29
E01003105,291,317,718,36,17
E01003106,311,477,1115,23,27
E01003107,176,375,920,19,100
E01003108,283,361,706,23,19
E01003109,373,513,1170,31,290
E01003110,204,394,1017,27,52
E01003111,390,368,732,55,< 10
E01003112,320,387,855,42,82
E01003113,221,251,731,12,17
E01003114,199,247,765,10,37
E01003115,260,257,679,< 10,27
E01003116,138,195,624,10,< 10
E01003117,225,302,814,28,80
E01003118,219,216,707,21,65
E01003119,195,341,862,10,47
E01003120,400,420,1025,15,153
E01003121,337,318,657,25,< 10
E01003122,263,367,938,25,31
E01003123,159,270,765,13,25
E01003124,220,217,569,23,10
E01003125,358,333,707,42,< 10
E01003126,276,280,655,25,24
E01003127,226,252,727,23,25
E01003128,291,305,644,24,30
E01003129,202,250,753,14,40
E01003130,210,247,750,15,30
E01003131,145,199,634,18,80
E01003132,288,243,574,37,< 10
E01003133,218,297,747,15,40
E01003134,173,220,645,13,< 10
E01003135,295,323,748,26,21
E01003136,207,286,811,15,< 10
E01003137,311,348,686,25,12
E01003138,85,196,702,11,< 10
E01003139,145,152,546,12,27
E01003140,139,129,495,14,< 10
E01003141,281,305,780,18,19
E01003142,136,115,462,15,< 10
E01003143,218,179,516,25,< 10
E01003144,78,113,514,< 10,21
E01003145,227,266,717,20,34
E01003146,184,173,532,< 10,19
E01003147,272,287,830,27,38
E01003148,208,295,817,12,21
E01003149,124,234,717,13,< 10
E01003150,320,338,776,27,17
E01003151,398,425,814,53,< 10
E01003152,156,230,735,< 10,< 10
E01003153,182,282,920,21,110
E01003154,292,334,806,25,< 10
E01003155,141,237,747,14,39
E01003156,185,261,703,23,< 10
E01003157,93,139,607,19,62
E01003158,74,239,764,< 10,< 10
E01003159,215,296,710,19,< 10
E01003160,287,282,596,21,10
E01003161,168,192,543,27,< 10
E01003162,392,386,820,36,< 10
E01003163,133,195,631,12,< 10
E01003164,288,334,955,22,84
E01003165,215,272,729,24,31
E01003166,294,437,1080,11,106
E01003167,110,193,711,18,< 10
E01003168,299,291,648,31,13
E01003169,309,431,1053,23,10
E01003170,125,299,828,24,< 10
E01003171,249,367,836,18,< 10
E01003172,348,417,845,35,< 10
E01003173,146,235,707,17,< 10
E01003174,407,437,849,18,< 10
E01003175,304,300,623,22,< 10
