Organisation,Address 1,Postcode,Contact Name,Telephone,Email,Website,Description of provision,Target group
Mosaic Clubhouse,"126 Atkins Road, ",SW12 0AN,Beverley Randall,0208 674 2349,info@mosaic-clubhouse.org,www.mosaic-clubhouse.org,Provides a comprehensive three week training programmeÿfor individuals to empower/equip them with skills to enable them to lead productive and dignified lives in the community,Support for people with severe and persistent mental health conditions.ÿ
Blackfriars Settlement,1-5 Rushworth Street,SE1 0RB,Cliff Docherty,0207 928 9521,Cliff.docherty@blackfriars-settlement.org.uk,www.blackfriars-settlement.org.uk,creating opportunities for people to achieve their aspirationsÿ,
Clapham Park Homes,2 Headlam Road,SW4 8HP,Makeda J Hewitt,0208 623 8900,makeda.hewitt@cph-online.co.uk,www.cph-online.co.uk,Employment related programme for the purpose of construction/ refurbishment of Clapham homesÿ,Unemployed residents Adult and young peopleÿ
Eco-Actif Services CIC,"Unit Cc10.8, Canterbury Court, Kennington Park, 1-3 Brixton Road",SW9 6DE,Adeola Soyege,0203 176 0959/ 0958/0957,,www.ecoactifservicescic.co.uk,"Offer clients a holistic approach to the issues and barriers that they face, by offering short training modules: by helping them to overcome barriers to re-engaging with society","Ex ? offenders, people recovering from substance and alcohol misuseÿ"
Kids? City,25 Morrish Road,SW2 4EE,Jackie Nunns,0208 683 9601,j.nunns@kidscity.org.uk,www.kidscity.org.uk, Deliver programmes designed to target local residents and the users of the scheme to enhance their future employability. They also provide childcare and out of school ,
,,,,,,,"activities to children in Lambeth, Merton and Wandsworthÿ",
,"1-4 Brixton Hill Place, SW2 1HJ",SW2 1HJ1HJ,,,,,,
Refugee Council,240 ? 250 Ferndale Road,SW9 8BB,Danielle Valens,0207 346 6700,training@refugeecouncil.org.uk,www.refugeecouncil.org.uk,Offer training to support service providers in their work with asylum seekers and refugees.ÿ,
SHARE community,64 Altenburg Gardens,SW11 1JL,Jenni Daniel,0207 924 2949,newstart@sharecommunity.org.uk,www.sharecommmunity.org.uk,"Provides self-help, training, personal development and educational opportunities.",Disabled people and those facing health-related barriers to employment.
,,,,,,,"Horticulture, ICT, Basic Skills and catering",
Southside Partnership,"31-33 Lumiere Court, 209 Balham High Road",SW17 7BQ,Jan Lemmon,0802 772 6222,info@southsidepartnership.orgg.uk,www.southsidepartnership.org.uk,Provide training and employment support in the catering fieldÿ,Individuals who experience mental ill healthÿ
Status Employment,"3-6 Beale House, Lingham Street",SW9 9HG,Paul Goddard,0203 228 6826,statusemployment@slam.nhs.uk,www.status-employment.co.uk,"Aim toÿfind appropriate work and arrange necessary training required, then support client until settled in the job",
Tomorrow?s People,"Unit 6 Piano House, Brighton Terrace",SW9 8DJ,Karen Stone,0207 924 0137,info@thegainproject.co.uk,www.tomorrows-people.co.uk,Support residents in finding and keeping employmentÿ,Adults & young peopleÿ
Alford House,"Alford House, Aveline Street",SE11 5DQ,Micheal Beckford (Connexions PA),0207 735 1519,mbeckford@lambeth.gov.uk ? gilly@alfordhouse.org.uk,www.alfordhouse.org.uk,Delivers nationally recognised qualifications in the form ofÿ?Youth Achievement Awards?,8 ? 22yrs
,,,Gilly Kenealy,,,,,
,,,,,,,,Majority 13 ? 19yrsÿ
Coin Street Community Builders,"Coin Street Neighbourhood Centre, 108 Stamford Street, South Bank",SE1 9NH,Harjinder Nijjar,0207 021 1600,h.nijjar@coinstreet.org,www.coinstreet.org,"Signposting: training 7 Employment, information Advice & Guidance. Offers free diagnostic service and access to a database of where possible recommended training providers based in the Lambeth & Southwark area.","Employed & unemployed individuals, parents and small enterprise/voluntary/community groups"
GLE,"Unit 4, Hermes House, Josephine Avenue",SW2 2JG,Abdul Ali & Christine Duffy,0208 678 5450,southcentral@gle.co.uk,www.gle.co.uk/onelondon,South Central Branch give individual support and training to people interested in starting their own businessÿ,
JAM Training,537 Norwood Road,SE27 9LD,Sarah James/Patricia McLean,0208 761 4943,jamtraining3@aol.com,,"Provides NVQ training & short courses, and work?based qualification, (play work, First Aid, Food Hygiene) Extended school clubs, and Recruitment (Fee?s may apply)ÿ",
Lambeth Play,66 Railton Road,SE24 0LF,Sarah Grand,0207 733 5718,sarah@lambethplay.co.uk,www.lambethplay.co.uk,"Develop and advise on inclusive accessible play opportunities, provide various play related training courses and activities",
,,,,,,,supply information to play providers,
,,,,,,,,
Live Magazine,"Unit 11, Piano House, 9 Brighton Terrace",SW9 8DJ,Caroline Roake,0207 326 5979,caroline@livefutures.org,www.livefutures.org www.live-magazine.co.uk www.livity.co.uk,"Youth engagement agency, that offer mentoring, training, guidance support and access to education/employment opportunitiesÿ",Young People 16+ÿ
,,,,,,,,
,,,,,Naomi@livity.co.uk,,,
,,,,,,,,
Mencap Pathway,"5, The Pavement",SW4 0HY,Alan Sheldon,0207 498 2883,allan.sheldon@mencap.org.uk,www.mencap.org.uk,Provides employment services to people with learning disabilities(as well as those with a history of mental ill health and duel diagnosis)  work preparation & placements ÿ,
Ruskin Private Hire (Roburst Training),224-236 Walworth Road,SE17 1JE,Kevin Taylor,0207 703 4045,ktaylor@robursttraining.com,www.robusttraining.com,"Provides NVQ, and basic skills courses, right through to apprenticeships.",People from a wide range of backgrounds
