Supplier Name,Sum of Invoice Nett Amount
Department for Communities & Local Government,3228893.86
Veolia ES (UK) Ltd,2037315.80
Capita Business Services Ltd,1854464.17
Lambeth Living Ltd,1738345.96
Morrison Facilities Services Ltd,1460620.35
Matrix SCM Ltd,1348434.25
Western Riverside Waste Authority,989686.68
Lambeth Community Health,812484.00
Climate Energy Ltd,559581.61
NSL Limited,530209.64
Allied Healthcare (Uk) Ltd,453260.51
Lambeth Lighting Services,436816.60
Fountains Environmental Ltd,436637.17
Denhan International,398193.97
Harrison Catering Services Ltd,372966.36
Focus Education (Lambeth) Ltd,367759.50
St Andrew's Health Care,344942.20
Thames Reach Bondway,337764.33
Interserve Technical Services Ltd,295781.14
United Residents Housing,292909.38
Midos Estates Ltd,268797.29
Southside Partnership,265536.33
British Gas Business,263878.63
City Suburban Tree Surgeons,250642.63
Keratome Ltd,244969.05
Windmill Care Centre,243372.37
Limetree Healthcare Ltd,237939.70
MJF Corporate Guarding Ltd,228925.84
Breyer Group Plc,219782.29
F M Conway Ltd,218231.10
Mr D S Taak,209137.50
CfBT Education Trust,201977.45
Queens Oak Care Centre,197809.06
Corona Gas,184991.68
St Mungo Association,178367.08
PricewaterhouseCoopers,173786.10
Lambeth Mencap,172099.60
West Yorkshire Pension Fund,171523.36
Klearwater Supported Homes Ltd,168975.24
Pitney Bowes Management Services Ltd,166403.05
Carillion Capital Projects Ltd,157600.00
Quality Protects Children Ltd,153985.73
Cambian Autism Services Ltd,153856.48
DDS Demolition,134805.00
Frontier Support Services Ltd,134462.06
Pinnacle Psg,134159.50
Families For Children (South) Ltd,131028.72
Ensigna Construction Ltd,130926.44
The Rathbone Centre,130772.36
Turners Cleaning & Support Services Ltd,128042.24
Norbury Property Services (London) Ltd,127799.72
Greenwich Leisure Limited,123620.53
Centrepoint Soho Ltd,121837.84
London Mutual Credit Union Ltd,120000.00
Orchard Hill College,117054.66
Kindercare Fostering Ltd,116708.02
Metropolitan Housing Trust London,113827.16
National Fostering Agency,113773.99
Metropolitan Support Trust,107865.88
Healthcare & Transport Services,107448.59
North Hill House Priory,105602.60
Whippersnappers,103598.00
Sense,100460.90
Frankham Consultancy Group Ltd,100307.50
EPS Maintenance,98882.70
The Fostering Partnership,98293.94
Cmg Homes Ltd,97343.69
Southern Electric Plc,97237.87
Transport For London,96730.54
Sherico Care Homes Ltd,96142.37
Coin Street Neighbourhood Centre,95592.50
Community Housing Association Ltd,95080.31
Kingsdale Nursing Home,94823.89
Solor Care Group Ltd,94276.88
Royal Mencap Society,90898.41
Groundwork London,89749.88
London Councils,88079.52
F S Properties,83629.01
Holmdene Housing Ltd,82097.85
Anthony Gold Lerman & Muirhead,81917.44
British Gas Services Ltd,81879.16
GA Harpers,81533.43
The Frances Taylor Foundation,79647.03
Invicta Building Services Ltd,79383.32
Solid Homes Ltd,77928.88
Age Concern,77549.25
Enterprise Plc,77377.64
National Autistic Society,74213.90
Foster Care Associates Ltd,72098.87
Laurels Care Centre Ltd,71030.61
Deloitte LLP,70655.45
Four Seasons Health Care Ltd,69366.06
RM Education plc,68586.00
ISS Eaton,68286.56
Age Concern Lambeth,68085.80
Hortech Ltd.,68034.03
BHHI,67789.99
Westminster Home Care Ltd,67697.90
KPMG LLP,67500.00
Astra Homes Ltd,67173.20
Alphatrack Systems Ltd,65462.90
Appleyards DWB,62016.49
Unique Personnel (Uk) Ltd,61987.01
Software Box Ltd,61125.00
Oakfield Nursery,60596.59
BUPA Care Homes,60278.65
Care Unlimited,59742.49
Oco Ltd,59219.26
John Pelling Partners,58536.71
Family Mosaic,56783.21
The Weir Link,56740.00
KONE plc,56493.38
ABBA/Mechatronics,55455.85
Nacro,55404.10
Haverstock Associates LLP,55245.00
Underley Educational Services,54626.36
Viglen Limited,54004.73
Blizz Hotels,53946.21
Ashcroft Care Services,52803.32
DC Woodruff & Sons Ltd,52608.79
Ubs Asset Management Ltd,52300.68
CT Plus,51947.53
Carewatch (Lambeth),51631.31
Shepheard Epstein Hunter Plc,51401.25
South Thames Crossroads,51250.00
Lambeth Law Centre,51082.82
L'Arche Lambeth Community,50140.86
Shaftesbury Young People,49987.00
Banya Family Placement Agency,49962.54
Ethelbert Homes,49721.25
Sunbeam Fostering Agency Ltd,49433.63
Sanctuary Care Ltd,48947.03
Mace Ltd,48860.25
Blossom House School,48120.00
Jamma Umoja (Residential Services) Ltd,47942.00
South London YMCA,47580.12
Newham House Supporting People Ltd,45747.41
Eversheds LLP,45338.60
Participle Ltd,45000.00
Glen Care Group,44563.15
Fairley House School,43750.00
Orland Limited & Blue Chip Trading Limited No 2 Account,43060.50
Holistic Community Care Ltd,42922.33
Chatsworth Care,42508.28
Buxton Building Contractors Limited,42074.00
Alcohol Recovery Project,41164.16
Tact,41033.67
Choice Support,40905.60
Integrated Services Programme,40229.28
Community Links Services,39936.59
Ebonycare,39396.45
David Lewis Centre,39285.86
South London Family Centre,39170.00
Norcrest (2000) Home Limited,38879.28
Pield Heath House RC School,38499.00
TBS Adaptations Ltd,38468.62
Fisher Meredith Solicitors,38333.62
Sorag Carers And Special Needs Project,37882.03
229 Mitcham Lane Ltd,37264.79
Crownwise Ltd,36978.51
AJS Ltd,36762.79
Tribal Education,36167.00
Ekaya Housing Association Ltd,35384.56
Fostering Outcomes,35007.80
St. Christopher's School,34981.29
English Churches Housing Group,34928.64
Lambert Smith Hampton,34761.37
St Mary's Care Ltd,34570.64
Carr-Gomm Society Limited,33987.80
Mary Hare Grammar School,33729.50
Axis Europe Plc,33676.57
The Rainbow Charity,33138.90
Penrose Housing Association,33101.18
University of Bedfordshire,33045.00
Barnardo Services Ltd,33000.00
Greenwich Council,32241.20
Lifeways Community Care Limited,31637.84
Mr J K S Patel,31559.13
Deepdene Care Limited,31552.48
Harvey Nash Plc,31213.00
Hyder Consulting Ltd,30994.64
Brookdale Healthcare,30652.86
The Caldecott Foundation,30455.02
St Davids Care In The Community,29674.38
Stanbridge Earls School,29562.44
New College Worcester,29532.00
Norbury Hall Residential Care Home,29430.88
Refuge,29062.21
Emo Oil Ltd,28944.04
Castlebeck Care (Teesdale) Ltd,28659.80
Mental Health Care Uk Ltd,28437.16
Priory Secure Services Chadwick Lodge,28320.00
Macintyre Care,28219.26
Family Ties Contact Centre,27939.35
Consort Property Management,27824.60
Clifton Manor,27816.61
Caretech Community Services Ltd,27691.83
Inclusive Care Support,27400.00
Insight,27360.12
British Telecommunications Plc,27234.69
Manon House,27221.44
Acorn Residential Home,27029.57
Oxford Computer Consultants Ltd,26955.00
Greater London Fostering,26589.01
Kartikeya Solutions Limited t/a Unique Children Home,26099.83
Atkins Ltd,25945.10
Kelly Executive,25882.44
2 Care Ltd,25785.69
Medicrest Limited t/a Acorn Care Homes,25614.51
acevo (Association of Chief Executives of Voluntary Organisations),25609.26
Downing (Chertsey Road) Ltd,25543.28
Youth Justice Board For England And Wales,25260.94
Sherwood Cars Ltd.,24933.05
Nas Services Ltd,24856.63
CLG Enterprises,24812.53
Springboard Research Ltd,24793.16
CAG Consultants,24479.00
CLASSROOM,24322.00
Bryn Melyn Care Ltd,24320.58
Southern Cross Healthcare Ltd,24267.47
AXA-ICAS Ltd,24227.65
Furnace Managed Services Ltd,24186.00
Solace Women's Aid,24154.24
Equinox,23694.60
Leonard Cheshire Chipstead Lake,23601.78
North East London Foundation Trust,23593.50
Southside Partnership Fanon Care,22974.56
Grafham Grange Special Educational Trust,22937.00
Elm Park Nursery,22779.51
Single Homeless Project,22739.76
The Salvation Army - The Haven,22695.56
Thames Water Utilities Ltd,22583.07
Amber Care (East Anglia) Ltd,22215.52
Camelot Property Management,22179.01
The Fostering Foundation Ltd,21868.00
Youth Scene,21850.00
Royal Bank Of Scotland Plc,21768.51
N Hosanee (Roselands),21701.56
Incasso Debt Recovery,21559.00
Mondale Estates Ltd,21556.50
Saltash Enterprises Ltd,21538.00
Nak Centre,21522.60
R@W Logistics Ltd,21495.97
Hestia Housing And Support,21154.64
Belshaw Curtin Sols,21000.00
Independent Community Care Management,20696.00
Judge & Priestley Solicitors,20494.60
Mr Aiden Ryan,20435.00
Parkview Nursing Home,20417.95
Care Principles,20315.40
Stanley Security Solutions,20302.95
Redlands Resthome,20160.27
Integralis Ltd,20013.23
Plan Personnel,19945.30
Streatham & Clapham High School,19897.10
Anglo Spanish Nursery,19446.28
Tavistock & Portman NHS Foundation Trust,19340.00
Allied Supported Living Ltd,19093.07
Cycle Training UK Ltd,19084.50
Savills (L&P) Ltd,19000.00
Little Sisters Of The Poor,18894.97
Gowlain Building Group Contractors Ltd,18880.44
Beach Communications Ltd,18760.06
Woodentops Kindergarten,18699.70
Interserve Fm Limited,18523.00
West London Mission,18080.10
South London Business Limited,18010.00
Ethelred Towers Residents,18000.00
See Ability,17988.76
Consensus Healthcare Ltd,17983.92
Tinkers Hatch,17908.41
Seytos Residential,17886.58
Sita UK Ltd,17760.30
Swaay,17679.20
Orbis Property Protection Ltd,17500.00
Sternberg Reed Taylor & Gill Sols,17386.50
Cavendish Lodge Nursery,17332.37
Steeles (Law) LLP,17209.55
MLM Consulting Engineers Ltd,17140.00
P E Modile T/A Laglin House,17033.88
Vosse Court Limited,17009.09
Woodcroft School,16972.80
The Childrens Trust,16647.00
Muf Architecture Art,16496.40
TPP Law Ltd,16452.10
S P Homes T/AS Mulberry House,16441.81
Programme Managment Limited,16425.00
Scope,16369.03
St Dominic's School,16333.00
Gibsons Lodge,16180.33
Broomwood Hall School,16176.45
Basis Ltd,16175.00
London Probation Service,16029.13
Land Use Consultants,16000.00
Ashfords,15937.00
Engage Lambeth Limited,15741.60
Lilford Day Care Centre,15656.72
Blackford Education (Exmoor) Ltd Trading as Libra,15599.92
Tumblewood Community,15599.92
Royal London Society for the Blind,15487.47
Whitehall Consultants,15450.00
Creative Support Ltd,15407.60
West Heath 2000 Ltd,15374.00
Mpower Ltd,15286.81
Barlow Lyde & Gilbert,15248.45
Action For Children Services Ltd.,15219.74
St Martin Of Tours Housing Association,15176.44
Norwood Manor Nursery,15015.73
Victim Support Lambeth,15000.00
Greenhill Jenner Partnership Ltd,15000.00
Sophie Centre,14950.20
Gretton Homes,14932.00
Papillon House School,14890.00
Sankofa Care Ltd,14850.77
Sweet Tree Home Care Services,14846.50
London Letterbox Marketing,14813.00
Browne Jacobson Solicitors,14750.00
Myatts Field North TMO,14721.48
Inspira Consulting Ltd,14700.00
South Bank Employers Group,14569.89
Tomorrow's People Trust Ltd,14545.22
Mcrae Residential Care Services,14537.88
Parayhouse School,14500.00
Consensa Care,14481.12
Contract Homes,14470.63
The Royal National Theatre,14417.27
Waldorf School of South West London,14335.45
Focused Fostering,14205.57
Somali Carers Project,14090.56
Ms Andrea Garvey,14028.56
Exor Management Services Ltd,14000.00
Benecare Education & Residential Child Care,14000.00
Edf Energy Plc,13910.26
EU Supply Ltd,13780.00
Adminland Ltd,13779.36
Regard Partnership,13721.86
Alphatrack Systems Limited,13667.25
Streatham Montessori Nursery School,13613.85
Leonard Cheshire Disability,13601.40
Iron Mountain Uk Ltd,13538.34
Southern Adolescent Care Services Ltd,13414.01
Merton Citizens Advice Bureaux Ltd,13240.14
Viridian Housing,13214.98
Willow Nursery,13187.54
Brighton and Hove City Council,13138.00
Working with Men,13124.88
Post Office Ltd,13000.00
Lambeth Community Services,13000.00
Equinox Ltd,12965.24
Collinstown Construction Ltd,12899.60
Charing Healthcare,12898.28
Toad Hall Montessori Nursery,12729.75
Mr F Hosanee,12721.08
Clapham Park Homes,12668.00
Whitehouse Day Nursery,12667.24
St Thomas' Day Nursery,12646.15
Pixies Pre-School,12579.57
Mission Care,12541.55
Hi Life Properties Ltd,12523.28
Open Communities,12500.00
CACI Limited,12420.01
ARVAL PHH,12403.14
St Josephs School,12401.00
Wimborne House Ltd,12316.44
The Garwood Foundation,12239.76
Castlebar Health Care Ltd,12157.12
Lynstead Childrens Services,12108.29
Wessex Regional Care Ltd.,12005.32
Ellis Williams Architects,12000.00
New Local Government Network (NLGN),12000.00
Maltway Training Consultants,12000.00
Trimmer CS,11924.22
Charlie Chaplin Adventure Playground,11872.63
University of Greenwich,11840.00
Wilby and Burnett LLP,11820.43
Royal Mail,11761.58
People First In Lambeth,11759.61
Lambeth Voluntary Action Council,11750.00
ASRA Greater London Housing Association Ltd,11676.22
Waratah House,11597.56
Safe & Sound,11535.00
Supreme Education PLC,11447.68
Local Government Information Unit,11350.00
One London Ltd,11299.98
Lambeth Walk Day Nursery,11295.07
The Children's Family Trust,11285.82
Wainwright & Cummins,11269.23
Trustmarque Solutions Ltd,11242.00
St Anne's Community Centre,11238.29
A*Transport Ltd.,11224.25
Chrysalis Community Care Group Ltd,11217.75
Hunter & Partners,11215.81
AmicusHorizon Ltd,11120.80
Queen Elizabeth Foundation For The Disabled,11031.85
St Patricks Nursery School,11020.79
Blakedown Landscapes (SE) Ltd,11011.00
St Christophers Fellowship,10977.01
Davies Laing & Dick College,10875.00
St Marys Lodge,10785.30
Soderholm & Associates,10724.50
BlenheimCDP,10644.15
RSP Rail Travel Account,10625.25
XCEL 2000 Fostercare Services Ltd,10435.15
HLMAD Ltd,10425.00
Sussex Health Care,10420.61
Scanna MSC Ltd,10374.00
Lambeth Womens Aid - LWA,10359.40
Killby & Gayford Ltd,10333.98
Unicorn House,10254.80
Salvation Army,10241.07
St Nicholas Lodge,10230.00
Fairlie House,10203.71
S J Catering & Chemicals,10030.00
Southern Care Ltd,10000.00
Community Matters,10000.00
Thorlands Emb,9951.13
Dunelm Grove Pre-School,9914.46
TLT LLP,9759.50
St Michaels Pre-School,9714.75
Document Technology Ltd,9653.00
Aquajoy Bathlifts Ltd,9625.00
Court Lodge,9580.71
Ruskin House School,9505.78
Conquest Hotel,9470.00
Loughborough Community Centre Creche,9457.13
Stockwell Park Early Years,9380.02
2nd Step Nursery & Pre-School,9370.57
Mr Mark Calway,9340.00
Seven Ways,9324.00
Time For Children Ltd,9300.00
British Gas,9213.49
Automotive Leasing Limited,9201.02
Kenward Trust,9195.83
Safehouses,9049.22
Chatsworth Baptist Church Pre-School,9047.96
AMB Sports Limited,9000.00
Lambeth Mediation Service,8970.00
Harris Consulting Limited,8946.80
Normans (Burton Upon Trent) Ltd,8932.00
Amey BPO Services Limited,8925.71
S Stavrou,8760.00
Brain Injury Rehabilitation Trust,8739.83
United Response,8722.78
Independent Lifestyles SS LLP,8697.72
S&C Slatter Ltd,8639.00
The Technology Forge,8597.00
Wrixon Care Services,8535.00
Ferndale Road Day Nursery,8527.99
Residential Community Care Ltd,8520.00
Gardiner & Theobald LLP,8500.00
Thames Christian College,8498.16
Fast Corporate Services Ltd,8475.00
Veronique Kaboha,8429.42
SP Fleet Limited,8426.63
First Care Lodge Ltd,8414.28
Galaxy Lettings Ltd,8389.00
Energy Auditing Agency Limited,8365.65
Joycare Home Services Ltd,8355.60
Lambeth Academy,8289.00
Heath Farm Family Services,8226.78
Playcare Lambeth,8212.00
G M B ,8195.68
Tinytots Nursery & Daycare Centre,8191.21
Gold Knight Trading Ltd,8159.84
Clapham Montessori Nursery,8087.35
Knights Youth Centre,8060.00
Canbury School,8053.92
Strettons Clients Account,8030.76
Asquith Court Pre-School - 1,7991.19
Oakfield Easton Maudit Ltd,7987.46
School Business Services,7975.29
Moat School,7950.00
Tunstall Group,7904.75
The Boulters,7885.71
L & C Gregson Limited,7847.34
D S Care Ltd,7811.50
Ekosgen EKOS Consulting (UK) Ltd,7800.41
Together Working for Wellbeing,7742.48
C2C Rail Ltd,7728.00
Royal Association for Deaf People,7726.50
The Priory Grange St Neots,7718.87
Vassall Road Pre-School,7708.39
Criminal Records Bureau,7700.00
Children of All Nations,7657.26
The Hesley Group Ltd,7624.96
Keyring Living Support Network,7622.08
Burgess Park Care Centre,7600.27
Clockwork Estates Ltd,7573.23
Kingsmead Nursing Home,7559.97
L K Recruitment Ltd,7551.84
DTZ DTL Limited,7546.05
Kasper Ltd,7530.45
Lambeth Womens Project,7500.00
Broadway,7491.44
CBS Outdoor Ltd,7456.00
Crofton Design,7405.21
Ashbrook House Ltd,7384.20
Life Environmental Services LTD,7335.00
Rainbow Smiles,7319.67
Cascade Care,7299.92
Dell Computer Corporation Ltd,7288.00
Bright Futures Day Nursery,7262.08
N Notaro Home Ltd.,7249.88
National Society For Epilepsy,7218.28
Care Providers,7155.02
Home Farm Trust Ltd,7137.24
Squirrels Nursery School,7128.04
Atlas Healthcare Ltd,7094.80
Playout Lambeth,7049.45
London & Essex Newspapers Ltd,7008.00
John Mackenzie,7000.00
Barwin Property Services Ltd,6936.03
Independence Homes Ltd,6932.84
G L Hockfield & Co Solicitors,6914.20
