Supplier Name,Total
Engage Lambeth Limited,"1683246.48"
Apollo Property Services Group Ld,"1513917.47"
Morrison Facilities Services Ltd,"1412148.99"
Matrix SCM Ltd,"1407602.19"
Mears Limited,"1211617.48"
Capita Business Services Ltd,"1149137.64"
Loughborough Emb Ltd,"660107.25"
Thames Reach Bondway,"478830.08"
Carillion Capital Projects Ltd,"425815.71"
Denhan International,"394330.64"
Mulalley & Co Ltd,"384000.00"
Oco Ltd,"382282.48"
Southside Partnership,"374468.92"
St Mungo Association,"330459.76"
Roupell Park Residents Mgt Coop Ltd,"315314.75"
Harrison Catering Services Ltd,"288914.23"
Corona Gas,"288365.44"
Quinn London Limited,"280330.00"
Blakedown Landscapes (SE) Ltd,"274172.00"
Midos Estates Ltd,"252279.37"
Windmill Care Centre,"250187.81"
Limetree Healthcare Ltd,"244603.11"
Breyer Group Plc,"240674.40"
Broadway,"233194.02"
EPS Maintenance,"224961.73"
Interserve Technical Services Ltd,"220687.25"
Lengard Ltd,"216000.00"
RM Education plc,"215691.00"
Frosts Landscape Construction ltd,"214746.30"
Tesco Stores Ltd,"209059.00"
T Brown Group Ltd,"206438.19"
Queens Oak Care Centre,"203348.98"
Veolia ES (UK) Ltd,"194685.33"
Cowley EMB Ltd,"193710.00"
Prime Estates Property Management,"188662.50"
United Residents Housing,"176627.09"
Thorlands Emb,"173309.75"
One Step At A Time,"171273.33"
Blenheim Gardens Tmo,"170011.04"
Age Concern,"162500.00"
ISS Eaton,"161787.16"
Single Homeless Project,"161009.12"
British Gas Business,"153650.52"
Lambeth Lighting Services,"145424.10"
D Singh Properties Ltd TA DS Properties,"144929.72"
Cetra Housing Co-Operative Ltd,"134041.25"
Waltham Estate Resident Management Organisation,"130959.26"
Look Ahead Housing & Care Ltd,"127830.00"
Hunter & Partners,"125778.02"
Keratome Ltd,"123213.85"
Cmg Homes Ltd,"122079.60"
Norbury Property Services (London) Ltd,"119834.81"
Lancedrum Ltd,"119289.04"
Lambeth Mencap,"119111.91"
Pacca TMO Ltd,"116312.00"
Linbrook Services Ltd,"113646.54"
Allied Healthcare (Uk) Ltd,"111509.54"
Kingsdale Nursing Home,"110786.08"
Diamond Build Plc,"106539.09"
Cottington Close Tmc,"104320.00"
Sense,"104080.86"
Klearwater Supported Homes Ltd,"98173.25"
Centrepoint Soho Ltd,"97670.88"
Anthony Gold Lerman & Muirhead,"95355.46"
Sanctuary Care Ltd,"90857.95"
Cranfield Investments Ltd,"89098.40"
Metropolitan Support Trust,"87881.52"
South London YMCA,"87293.12"
Supported Fostering Services,"85063.42"
Solor Care Group Ltd,"85024.74"
Centre 70 Community Association,"84288.00"
F S Properties,"80963.37"
Metra Housing Co-Op,"78106.75"
Curocare Ltd,"76564.58"
Northgate Information Solutions Uk Ltd,"74402.25"
St Michaels Fellowship,"73139.25"
Sprunt Ltd,"71978.56"
Solace Women's Aid,"70843.74"
NSL Limited,"69979.81"
Holland Rise And Whitebeam Close Tmo,"66660.00"
Richmond Management (Northern) Ltd,"66250.00"
Riverside ECHG,"64153.04"
Lambert Smith Hampton,"64118.01"
Blackford Education (Exmoor) Ltd t/a Libra,"64040.00"
GA Harpers,"61611.94"
Four Seasons Health Care Ltd,"61350.61"
St Christophers Fellowship,"61074.73"
Wellington Mills Housing Tmc,"60596.25"
BHHI,"58353.56"
Steeles (Law) LLP,"55603.92"
Mace Ltd,"54590.00"
South Thames Crossroads,"54085.00"
Nacro,"52998.20"
Blizz Hotels,"51480.87"
Clifton Manor,"51040.89"
Acorn Residential Home,"51014.24"
Pellings LLP,"49985.86"
Carewatch (Lambeth),"47749.98"
Ekaya Housing Association Ltd,"47476.80"
