Lambeth Invoices Over Specified Nett Amount,,,,,
,,,,,
Report Date:† 02/07/2012† 16:59:18,,,,,
,,,,,
Parameters: ,,,,,
Invoice Approval Date From:† 01-JUN-2012,,,,,
Invoice Approval Date To:††††† 30-JUN-2012,,,,,
Invoice Threshold Nett Amt:†† 500,,,,,
,,,,,
Body,Department,Supplier Name,Invoice Creation Date,Invoice Nett Amount,Subj Description
Lambeth,Adults' and Community Services,170 Community Project,08/06/2012,1534.24,FLOATING SUPPORT SERVICES
Lambeth,Children and Young People's Service,198 Contemporary Arts & Learning Ltd,06/06/2012,1750.00,GRANTS
Lambeth,Adults' and Community Services,229 Mitcham Lane Ltd,25/06/2012,4928.57,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,229 Mitcham Lane Ltd,25/06/2012,4928.57,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,229 Mitcham Lane Ltd,25/06/2012,6608.57,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,229 Mitcham Lane Ltd,25/06/2012,4977.86,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Children and Young People's Service,3Cs Creating Care Choices Limited,14/06/2012,12428.58,PRIVATE RESIDENTIAL HOMES
Lambeth,Children and Young People's Service,3Cs Creating Care Choices Limited,14/06/2012,12842.87,PRIVATE RESIDENTIAL HOMES
Lambeth,Children and Young People's Service,A A GuestHouses,25/06/2012900,PRIVATE RESIDENTIAL CARE
Lambeth,Children and Young People's Service,A A GuestHouses,25/06/2012930,PRIVATE RESIDENTIAL CARE
Lambeth,Children and Young People's Service,A A GuestHouses,25/06/2012930,PRIVATE RESIDENTIAL CARE
Lambeth,Children and Young People's Service,A A GuestHouses,25/06/2012870,PRIVATE RESIDENTIAL CARE
Lambeth,Children and Young People's Service,A*Transport Ltd.,01/06/2012,6795.25,HOME TO SCHOOL TRANSPORT
Lambeth,Children and Young People's Service,A*Transport Ltd.,11/06/2012,6454.25,HOME TO SCHOOL TRANSPORT
Lambeth,Children and Young People's Service,A*Transport Ltd.,25/06/2012,6295.25,HOME TO SCHOOL TRANSPORT
Lambeth,Adults' and Community Services,A.N.D Projects LLP,13/06/2012700,REACTIVE MAINTENANCE
Lambeth,Adults' and Community Services,A.N.D Projects LLP,13/06/2012,1760.00,HIRED & CONTRACTED SERVICES - GENERAL
Lambeth,Adults' and Community Services,A.N.D Projects LLP,13/06/2012680,REACTIVE MAINTENANCE
Lambeth,Office of the Chief Executive/Finance and Resources,Abbey Law,11/06/2012579.6,COST DRAFTSMAN - HOUSING POSSESSIONS
Lambeth,Adults' and Community Services,Abbeyfield Dorcas Society,08/06/2012806.36,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,Abbeyfield Society Ltd,08/06/2012,1119.24,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,Abbeyfield Stangrove Lodge,25/06/2012,2128.46,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Ability Housing Association,06/06/2012,4076.74,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Acacia Lodge,25/06/2012,1318.28,NURSING CARE PRIVATE SPOT
Lambeth,Children and Young People's Service,Access Mobility Transport Ltd,14/06/2012,3491.00,HOME TO SCHOOL TRANSPORT
Lambeth,Children and Young People's Service,Access Mobility Transport Ltd,14/06/2012,3623.40,HOME TO SCHOOL TRANSPORT
Lambeth,Children and Young People's Service,Access Mobility Transport Ltd,31/05/2012,4088.00,HOME TO SCHOOL TRANSPORT
Lambeth,Adults' and Community Services,Acclaim Contracts Ltd,07/06/2012,53780.00,GENERAL STATIONERY
Lambeth,Adults' and Community Services,Acorn Residential Home,25/06/2012,3203.40,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Acorn Residential Home,25/06/2012,3310.18,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Acorn Residential Home,25/06/2012,3203.40,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Acorn Residential Home,25/06/2012,3310.18,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Children and Young People's Service,Action For Children Services Ltd.,29/05/2012,93500.90,PRIVATE RESIDENTIAL HOMES
Lambeth,Office of the Chief Executive/Finance and Resources,Acumension Ltd,25/06/2012,1160.00,COST DRAFTSMAN - HOUSING DISREPAIR
Lambeth,"Housing, Regeneration and Environment",Ad Hoc Property Management ltd,15/06/2012550,HIRED & CONTRACTED SERVICES - GENERAL
Lambeth,Adults' and Community Services,Addington House Ltd,11/06/2012,5817.59,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Addlestone Lodge,25/06/2012,1376.40,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Office of the Chief Executive/Finance and Resources,Adem Ltd,31/05/2012,2030.00,COMPUTER MAINTENANCE
Lambeth,"Housing, Regeneration and Environment",Adminland Ltd,25/06/2012,13548.96,RENT - TAL (TEMPORARY ACCOMMODATION LICENCES)
Lambeth,Children and Young People's Service,Adoption Uk,31/05/2012685.13,ADVERTISING
Lambeth,Children and Young People's Service,Adoption Uk,31/05/2012685.13,ADVERTISING
Lambeth,Children and Young People's Service,Adoption Uk,31/05/2012670.25,ADVERTISING
Lambeth,Children and Young People's Service,Adventure Playground Engineers Ltd,18/06/2012,10419.75,"REPAIRS, MAINTENANCE & CLEANSING"
Lambeth,Children and Young People's Service,Adventure Playground Engineers Ltd,20/06/2012,9404.04,BUILDING CONTRACT CERTS/INVS
Lambeth,Children and Young People's Service,Adventure Playground Engineers Ltd,20/06/2012,20829.16,BUILDING CONTRACT CERTS/INVS
Lambeth,"Housing, Regeneration and Environment",Afay Ltd,25/06/2012750,RENT - B&B - SHARED
Lambeth,"Housing, Regeneration and Environment",Afay Ltd,25/06/2012900,RENT - B&B-SELF-CONT -ANNEXES
Lambeth,"Housing, Regeneration and Environment",Afay Ltd,25/06/2012930,RENT - B&B-SELF-CONT -ANNEXES
Lambeth,"Housing, Regeneration and Environment",Afay Ltd,25/06/2012,1260.00,RENT - B&B-SELF-CONT -ANNEXES
Lambeth,"Housing, Regeneration and Environment",Afay Ltd,25/06/2012775,RENT - B&B - SHARED
Lambeth,Adults' and Community Services,Age UK Lambeth,08/06/2012,12201.72,FLOATING SUPPORT SERVICES
Lambeth,Adults' and Community Services,Age UK Lambeth,18/06/2012,162500.00,VOLUNTARY ORGANISATIONS AGENCY SERVICES
Lambeth,Children and Young People's Service,AJS Ltd,27/06/2012,1009.08,BUILDING CONTRACT CERTS/INVS
Lambeth,Adults' and Community Services,Albany Lodge Nursing Home,25/06/2012,1700.83,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Adults' and Community Services,Albany Lodge Nursing Home,25/06/2012,2352.85,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Albany Lodge Nursing Home,25/06/2012,1528.97,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Adults' and Community Services,Alexander Family Nursing Home,13/06/2012,4458.73,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Alice Lodge,25/06/2012,2785.71,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Allied Care Ltd,25/06/2012,5716.80,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,13/06/2012,1818.32,DOMICILIARY CARE PRIVATE BLOCK
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,18/06/2012,2664.65,DOMICILIARY CARE PRIVATE BLOCK
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,18/06/2012,1492.43,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,18/06/2012,247365.94,DOMICILIARY CARE PRIVATE BLOCK
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,18/06/2012,13881.78,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,18/06/2012,14673.04,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,18/06/2012,30033.28,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,18/06/2012,51960.08,DOMICILIARY CARE PRIVATE BLOCK
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,18/06/2012677.16,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,30/05/2012,11454.00,SUPPORTED HOUSING - PRIVATE
Lambeth,Children and Young People's Service,Allied Healthcare (Uk) Ltd,07/06/2012784,FAMILY SUPPORT PACKAGES(S17)
